,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15,doc16,doc17,doc18,doc19,doc20
Adráksin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Advisers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Affairs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Afraid,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Africa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
After,2,0,3,4,5,3,4,6,7,7,10,12,21,27,16,12,18,12,10,13
Afterwards,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1
Again,0,0,0,1,1,2,1,1,2,0,1,3,4,3,2,3,4,2,5,3
Against,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Agitated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Agraféna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Ah,1,2,10,3,17,15,4,5,5,13,12,8,9,16,3,10,17,10,6,7
Ahead,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Aide-de-camp,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Akhrosímova,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Akhárovs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Akínfi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alarmed,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Albanians,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alexander,2,0,0,0,0,2,1,3,9,4,0,23,2,1,44,7,0,4,2,2
Alexanders—Bekleshëv,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Alexander—generals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alexander—just,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alexander—though,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alexandre,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Alexéevich,0,0,0,0,0,0,0,0,0,0,3,15,0,2,0,0,0,21,0,0
Alexéy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliment,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Aline,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
All,5,5,5,3,8,6,7,11,16,15,17,9,14,12,11,20,30,20,18,24
Alley,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Allez-vous,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Alliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Allies,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Allow,0,1,1,0,0,1,1,0,0,1,2,0,2,0,0,1,1,1,0,0
Almighty,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
Almost,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0
Alms,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alone,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Along,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0
Alphonse,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpátych,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,130,0,0,0,2
Already,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Alsatian,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Also,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Although,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Altogether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Always,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
Alénina,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Aléxis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alësha,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Am,0,0,0,0,0,1,0,0,0,1,0,1,2,2,0,1,1,5,0,0
Amalek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Amazon.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Amelie,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amen.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
America,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amid,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,1,1,0,0
Among,0,0,0,0,0,1,0,1,2,1,1,2,0,0,2,1,2,1,4,2
Amphilochus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amstetten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amuse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Amélie,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
An,0,2,0,0,2,4,1,1,4,0,1,3,2,3,3,4,11,7,6,1
Anatole,4,24,0,0,1,0,0,22,30,1,0,0,2,98,35,0,2,3,0,0
And,23,18,17,26,23,48,21,37,52,61,59,41,58,68,62,49,64,78,84,105
Andrew,14,42,0,0,72,21,118,14,75,38,99,97,134,43,97,89,87,33,42,12
Andrew—,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Andrew—a,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrew—promised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Andrew—relapsing,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Andrew—she,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Andrew—spoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
André,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andréevich,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0
Andréevich—,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Andrúsha,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrúsha.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrúsha—the,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andwew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Anférovs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Angel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Anger,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Angina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Angleterre,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Angry,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Animated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Anna,64,18,34,4,51,0,0,22,17,6,22,0,3,8,0,19,0,3,17,1
Anne,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Annette,2,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Annette—how,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Announce,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Another,1,1,0,0,1,3,5,1,3,2,1,3,1,1,1,1,8,6,3,2
Ansicht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Antichrist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Antichrist—I,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anticipation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Antón,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Antónov.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Antónovna,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Any,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Anybody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Anyhow,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Anyone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Anywhere,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aníska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Anísya,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
Apart,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0
Apocalypse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
Apollón,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Apparently,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
April,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
Apropos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Apráksin,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Apráksina,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apráksins,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arab,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Arakchéev,0,0,0,0,0,0,0,0,1,0,0,16,0,0,12,3,0,0,0,3
Arbát,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0
Arc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Archduchy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archduke,0,0,0,0,1,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0
Architect,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1
Archives,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcola,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Are,2,2,3,0,0,3,2,4,0,2,2,2,0,3,2,5,5,6,1,3
Aren,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0
Arguing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Aristóvo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Arkhárovs,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
Armed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Armenian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Armenians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Armfeldt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Armfeldts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Army,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,1,0,1
Arnauts,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Around,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,1,1,0
Arrange,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arranging,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Articles,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arábchik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arínka,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
As,4,3,2,1,13,5,6,4,13,8,10,12,18,16,20,17,14,21,26,12
Asch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Ashamed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Asiatic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Ask,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0
Asking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Asks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Asleep,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Assessor,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Assuming,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Assumption,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Assumption—and,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Assumption—it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Assure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Astraea,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
At,3,1,2,7,12,9,12,9,21,15,13,20,20,21,14,22,31,29,14,22
Att-ention,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attack,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attendez,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attention,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Au,0,1,0,0,0,0,2,0,2,1,0,0,0,0,2,0,0,0,0,0
Aubert-Chalmé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Auersperg,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Auerstädt,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Augesd,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Augezd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
August,0,1,0,0,0,0,1,0,0,0,0,2,2,0,0,10,13,10,1,3
Augustin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Aunt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0
Auntie,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Austerlitz,0,0,0,0,0,0,0,0,5,8,5,6,1,0,6,1,8,0,4,3
Austerlitz—takes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Austria,2,1,0,1,2,3,5,0,0,1,3,2,1,1,2,0,2,0,3,0
Austrian,0,0,0,0,2,18,12,0,24,8,0,0,1,0,1,0,0,0,3,0
Austrians,0,0,0,0,1,4,5,0,2,3,0,0,0,0,0,0,1,0,1,0
Authorities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Availing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Away,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Awkward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Awkwardly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Awoke,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Axes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Azor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Azóv,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
B.,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
BOOK,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,2,1
Bacchus.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Back,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0
Bad,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
Baden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Bagovút,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Bagratión,0,0,0,0,0,1,67,14,19,31,0,0,0,0,4,9,6,0,3,0
Bagratión.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagratión—being,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bah,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bal-machève,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bal-machève.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Balagá,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
Balashëv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,1,0,0,0,0
Bald,0,0,0,0,3,0,0,3,0,3,7,2,3,3,4,25,3,0,0,0
Baltic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bang,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bank,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Barbara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Barclay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,12,1,2,1
Barclays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Baron,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0
Bartenstein,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Bartholomew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Barthélemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Basil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bassano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Baths,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Battery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Battle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bavarians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Bazaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Bazdéev,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0
Bazdéevs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Be,1,0,1,1,2,0,1,1,1,0,1,1,1,4,3,3,1,5,1,0
Beams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Beast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Beat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Beatified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Beauché,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Beauharnais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Beausset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
Beautiful,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Because,1,0,0,0,0,0,1,0,1,2,0,2,3,1,1,3,0,0,1,5
Bedchamber,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Bedouin,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0
Been,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Before,2,0,0,1,1,0,6,2,3,2,0,1,7,2,8,1,5,3,1,4
Beginning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Behave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Behind,0,1,0,0,1,3,3,1,0,0,0,0,1,3,0,0,6,0,2,5
Being,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
Bekleshëv,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Belgians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Believe,1,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0,0
Believing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Belliard,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0
Bellowitz,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bells,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Below,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
Belóva,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
Bending,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Beneath,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Benefactor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bennigsen,0,0,0,0,0,0,0,0,0,0,5,0,0,0,22,3,34,0,12,2
Bennigsenites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bennigsens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Berg,0,0,1,10,0,0,0,0,24,2,0,15,25,0,0,4,0,16,0,0
Berg.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bergs,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Bergs—have,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Berlin,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,0,0
Berthier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,0,0,1
Berëzina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16
Beside,0,0,0,0,0,3,0,0,0,1,0,1,1,0,0,1,2,1,1,2
Besides,2,2,0,1,1,0,4,2,3,3,2,3,2,3,5,3,0,3,5,7
Besouhoff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bessières,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Besuhof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
Besuhof—all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Betrayed,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bettah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Better,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Between,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0
